path,layer,version,global,milestone_introduced,purpose_snippet
cozyos.js,,1.0.0-ENTERPRISE,,,
modules/quarry/quarry-contants.js,"Application (shared reference data, no logic)",,,,
modules/live/cozy-live.js,,1.2.0-ENTERPRISE,,,
Firebase/firebase-config.js,,1.0.0,,146,
Firebase/firebase-session.js,,1.0.0,,146,
Firebase/firebase-provider.js,,1.0.0,,146,
Firebase/firebase-auth.js,,1.0.0,,146,
Firebase/firebase-firestore.js,,1.1.0,,"146 (base), 362 Stage 1 (real-time listener addition)",
Firebase/firebase-storage.js,,1.0.0,,146,
Firebase/firebase-bootstrap.js,,1.0.0,,146,
Firebase/firebase-app.js,,1.0.0,,146,
core/vendor-events.js,Core / Platform Foundation — Shared Platform Service,1.0.0-ENTERPRISE,,,"A thin, real wrapper over the existing, real `PlatformEventBus` — not a second pub/sub mechanism. Every vendor lifecycle transition emits a real event through the same bus every ot"
core/living-voice-style-engine.js,,1.0.0-ENTERPRISE,,,
core/vendor-manager.js,Core / Platform Foundation — Shared Platform Service,1.0.0-ENTERPRISE,,,"The single, real entry point for the whole platform's vendor interactions. Applications should call VendorManager, never VendorLoader/VendorRegistry/VendorDiagnostics directly — th"
core/modules/module-registry.js,Business Domain — Plugin (PluginManager-registered),1.0.0-ENTERPRISE,,,"The Single Source of Truth for CozyOS application discovery. Decouples an application's id (e.g. ""shopos"") from its actual folder/file structure, theme, dashboard type, and permiss"
core/modules/ocrstudio/ocr-document.js,,1.0.0-PRODUCTION,,,"Stores and exposes OCR document descriptors. Never performs OCR, extracts text, edits documents, parses PDFs, preprocesses images, creates OCR results, or executes recognition."
core/modules/ocrstudio/ocr-image.js,,1.0.0-PRODUCTION,,,"Provides deterministic, pure-pixel image preprocessing operations (geometric transforms, matrix filters, tonal adjustments, statistics, and export) for OCR Studio, operating"
core/modules/ocrstudio/Ocr-register.js,,1.0.0-PRODUCTION,,,"Stores immutable, generic registration descriptors for the OCR Studio subsystem without performing OCR recognition, execution, or interpretation of any registered payload."
